SpGroup,SciName,CommonName,CommonName2,SpCode,ActivityPattern,RarityClass,HabitatSpec,LocalDensity,SVL_med_cm,SVL_max_cm,SVL_Amburgey,Foraging,Activity,PrimDetMethod,MeanBodyTemp,Diet,Substrate,minBodyTemp,maxBodyTemp,spanBodyTemp,medBodyTemp
Lizard,Uta stansburiana,Common side-blotched lizard,,UTST,Diurnal. Active all year in the southern deserts and semi-arid regions whenever the temperature is warm. Inactive during cold weather.,Common,generalist,high,4.8,5.9,5.05,ambush,diurnal,transect,36,arthropods,saxicolous & terrestrial,34,38,4,36
Lizard,Coleonyx variegatus,San Diego banded gecko,,COVA,,Widespread specialist,specialist,high,5.8,7.4,6.75,mixed,nocturnal,board,26.1,arthropods,terrestrial,19.4,32.8,13.4,26.1
Lizard,Plestiodon skiltonianus,Western skink,Skilton's skink,PLSK,"Diurnal, but secretive and not typically seen active. More commonly found underneath bark and surface objects, especially rocks, where it lives in extensive burrows. Inactive in cold weather.",Common,generalist,high,5.95,7.5,7,active,diurnal,board,27.6,arthropods,fossorial & terrestrial,25.2,30,4.8,27.6
Lizard,Aspidoscelis hyperythra beldingi,Orange-throated whiptail,,ASHY,"Diurnal. Wary and very active, moving with abrupt stops and starts, side-to-side head movement, and tongue flicking.",Endemic,specialist,high,6.1,7.2,6.05,active,diurnal,transect,39.2,arthropods,terrestrial,38.5,39.9,1.4,39.2
Lizard,Sceloporus occidentalis,Western fence lizard,,SCOC,"Diurnal. Prefers open sunny areas.Active when temperatures are warm, becomes inactive during periods of extreme heat or cold, when they shelter in crevices and burrows, or under rocks, boards, tree bark, etc. Probably active all year in warmer parts of it",Common,generalist,high,7.15,8.7,7.3,ambush,diurnal,transect,33.2,arthropods and lizards,arboreal & saxicolous & terrestrial,30.4,35.9,5.5,33.15
Lizard,Phrynosoma blainvillii,Blainville's horned lizard,Coast horned lizard,PHBL,"Diurnal. Active during periods of warm weather, retreating underground and becoming inactive during extended periods of low temperatures or extreme heat.",Widespread specialist,specialist,high,8.1,10,8,active,diurnal,transect,34.9,insects,terrestrial,34.2,36.7,2.5,35.45
Lizard,Aspidoscelis tigris,San Diegan tiger whiptail,Coastal whiptail,ASTI,"Diurnal. Wary and very active, moving with abrupt stops and starts, side-to-side head movement, and tongue flicking.",Sparse widespread,generalist,low,8.85,11.7,9.35,active,diurnal,transect,39.2,arthropods and lizards,terrestrial,37.1,41.3,4.2,39.2
Lizard,Plestiodon gilberti,Gilbert's skink,Western red-tailed skink,PLGI,"Rarely found moving about on the ground in the open, however, they are active in the daytime and will occasionally be seen moving in grass, among rocks, or in leaf litter. Often found under surface objects.",Widespread specialist,specialist,high,9.25,11.7,8.85,active,diurnal,board,29.2,arthropods,terrestrial,26.7,31.6,4.9,29.15
Lizard,Sceloporus orcutti,Granite spiny lizard,,SCOR,"Diurnal. Active from spring to fall, sheltering in cracks in rocks or under surface cover, and remaining inactive during winter. Typically seen basking on large granite boulders.",Endemic,specialist,high,9.85,11.6,9.95,ambush,diurnal,transect,31.4,"insects, lizards, plants, fruits, buds",arboreal & saxicolous,26.8,35.9,9.1,31.35
Lizard,Elgaria multicarinata,Southern alligator lizard,,ELMU,"Active during the day, crepuscular and nocturnal during hot weather. Inactive during cold periods in winter.",Common,generalist,high,13.1,18.4,12.55,mixed,cathemeral,board,24.6,"arthropods, bird eggs, small mammals",cryptic,21,28,7,24.5
