SiteID,PointGrp
BAR,BAR_P01
BAR,BAR_P02
BAR,BAR_P03
BDO,BDO_P01
BDO,BDO_P02
BDO,BDO_P03
BDO,BDO_P04
BLS,BLS_P01
BLS,BLS_P02
BLS,BLS_P03
BMT,BMT_P01
BMT,BMT_P02
BMT,BMT_P03
BMT,BMT_P04
BMT,BMT_P05
BMT,BMT_P06
BMT,BMT_P07
BMT,BMT_P08
BMT,BMT_P09
BMT,BMT_P10
CRE,CRE_P01
CRE,CRE_P02
CRE,CRE_P03
CRE,CRE_P04
CRE,CRE_P05
CRE,CRE_P06
HLC,HLC_P01
HLC,HLC_P02
HLC,HLC_P03
HLC,HLC_P04
HLC,HLC_P05
LPQ,LPQ_P01
LPQ,LPQ_P02
LPQ,LPQ_P03
LPQ,LPQ_P04
LPQ,LPQ_P05
LPQ,LPQ_P06
LPQ,LPQ_P07
LPQ,LPQ_P08
LPQ,LPQ_P09
LPQ,LPQ_P10
LPQ,LPQ_P11
LPQ,LPQ_P12
MGM,MGM_P01
MGM,MGM_P02
MGM,MGM_P03
MGM,MGM_P04
MGM,MGM_P05
MGM,MGM_P06
MGM,MGM_P07
MGM,MGM_P08
MTR,MTR_P01
MTR,MTR_P02
MTR,MTR_P03
MTR,MTR_P04
MTR,MTR_P05
MTR,MTR_P06
MTR,MTR_P07
MTR,MTR_P08
MTR,MTR_P09
MTR,MTR_P10
MTR,MTR_P11
MTR,MTR_P12
RGR,RGR_P01
RGR,RGR_P02
RGR,RGR_P03
RGR,RGR_P04
SDW,SDW_P01
SDW,SDW_P02
SDW,SDW_P03
SDW,SDW_P04
SDW,SDW_P05
SDW,SDW_P06
SDW,SDW_P07
SDW,SDW_P08
SDW,SDW_P09
SDW,SDW_P10
SDW,SDW_P11
SDW,SDW_P12
SVH,SVH_P01
SVH,SVH_P02
SVH,SVH_P03
SYC,SYC_P01
SYC,SYC_P02
SYC,SYC_P03
SYC,SYC_P04
SYC,SYC_P05
SYC,SYC_P06
SYC,SYC_P07
SYC,SYC_P08
SYP,SYP_P01
SYP,SYP_P02
SYP,SYP_P03
SYP,SYP_P04
