Point,DailyMeanHuman,TotalDetections,ANST,ASHY,ASTI,COFL,COLA,COVA,CROR,CRRU,DIPU,ELMU,HYOC,LACA,PHBL,PICA,PLGI,PLSK,RHLE,SAHE,SCOC,SCOR,THHA,UTST,Richness
SYP_P03,0.048,10,,,1,,,,,,,,1,,,,,,,,2,,,3,4
SDW_P02,0.096,10,,4,,,,,,,,,,,,,,,,,1,,,4,3
BDO_P04,0.107,15,,,1,,,,,,,1,,,,1,,1,,,1,,,8,6
SYP_P02,0.115,5,,,1,,,,,,,,,,,,,,,,,,,2,2
SYC_P05,0.192,23,,6,,,,,,,,,,,,,,,,,1,,,10,3
MGM_P04,0.247,12,1,5,,,,,,,,,,,,1,,,,,3,,,1,5
BDO_P03,0.263,39,,4,1,,,,,,,,,,,,,,,,,,,28,3
SVH_P03,0.283,27,,2,1,,,,,,,,,1,,,1,3,,,2,1,,8,8
SYC_P04,0.288,10,,,1,,,,,,,,,1,3,,1,,,,,,,2,5
SYP_P01,0.288,10,,2,1,,,,,,,1,,,,,1,,,,3,,,,5
MGM_P06,0.305,23,,6,,,,,,,,,,,2,,,,,,,2,,8,4
SVH_P01,0.317,43,,,1,,,,,,,,,,,,1,2,,,2,,,24,5
SVH_P02,0.317,26,,2,1,,,,,,,,,,,,,1,,,,,,11,4
SDW_P05,0.413,11,,,1,,,,,,,,,,,,,2,,,2,1,,5,5
MGM_P08,0.429,4,,,,,,,,,,,,,1,,,,,,1,,,2,3
BDO_P02,0.447,25,,,,,,,1,,,,,,,1,,,,,7,1,,12,5
MGM_P07,0.476,27,,9,2,,,,,,,,,,2,,,,,,,,,4,4
HLC_P05,0.693,15,,3,,,,,,,,,,,1,,,,,,,,,5,3
MGM_P01,0.702,30,,9,,,1,,,,,,,,2,,,1,,,,,,7,5
BDO_P01,0.737,16,,2,1,,1,,,,,,,,1,,,,,,,,,6,5
SDW_P10,1.058,7,,5,,,,,,,,,,,,,,,,,1,,,,2
LPQ_P09,1.461,10,,4,,,,,,,,,,,2,,,,,,,,,,2
LPQ_P01,1.652,7,,1,,,,,,,,,,2,,,,1,,,1,,,,4
LPQ_P11,1.927,6,,1,,,,,,,,,,,,1,,,,,1,,,1,4
BMT_P05,1.971,1,,,,,,,,,,,,,,,,,,,1,,,,1
HLC_P04,1.990,33,,5,,,,,,,,1,,,,,,,,,3,,,19,4
SDW_P12,2.144,8,,,,,,,,,,,,,,,,,,,,,,6,1
SDW_P04,2.157,14,,,,,,,,,,,,,,,,3,,,5,,,4,3
BLS_P03,2.346,44,,6,1,,,,,,,,,,2,,2,,,,4,,,25,6
SYC_P02,2.452,10,,1,,,,,1,,,,,,,,,,,,1,,,6,4
MGM_P02,2.740,20,,5,,,,,,,,,,,1,,,,,,2,,,5,4
SYP_P04,2.923,9,,2,,,,,,,,,,,,,,,,2,,,,,2
SYC_P01,3.106,5,,,,,,,,,,,,,,,,1,,,,,,4,2
BMT_P09,3.418,11,,,,,,,,,,,1,,,,,1,,,5,,,3,4
LPQ_P12,3.572,3,,1,,,,,,,,,,,,,,,,,,,,1,2
SDW_P03,4.260,2,,,,,,,,,,,,,,,,,,,,,,2,1
MGM_P03,4.880,49,,10,,,1,,,,,,,,4,,,,,,5,,,16,5
BMT_P07,4.924,6,,,,,,,,,,,,,,,,,,,3,,1,,2
CRE_P03,5.149,18,,5,1,,,,,,,,,,,,,,,,,,,10,3
BMT_P04,6.214,0,,,,,,,,,,,,,,,,,,,,,,,0
CRE_P06,6.375,12,,4,3,,,,,,,,,,,,,,,,3,,,2,4
MTR_P11,7.657,10,,,,,,,,,,,,,,,,,,,3,,,5,2
HLC_P02,7.827,48,,5,,1,,,,,1,,,,,,,,,,1,2,,31,6
CRE_P04,7.947,22,,9,1,,,,,,,,,,,,,,,,4,,,2,4
BMT_P06,8.688,2,,,,,,,,,,,,,,,,,,,2,,,,1
SDW_P01,8.865,14,,2,2,,,,,,,,,,,,,,,,,,,7,3
CRE_P01,9.173,21,1,8,1,,,,1,,,,,,,,,,,,3,,,5,6
SYC_P03,9.678,8,,3,,,,,,,,,,,,,,,,,2,,,3,3
SDW_P07,10.197,7,,,,,,,,,,,,,,,,2,,,,,,3,2
SYC_P08,10.835,14,,3,,,,,,,,,,,,,,,,,4,,,3,3
BMT_P10,10.870,5,,,,,,,1,,,,,,,,,,,,1,,,2,3
CRE_P02,11.779,15,,2,1,,,,,,,,,,,,,,,,5,1,,3,5
HLC_P03,12.337,36,,10,,,,,,,,,,,1,,,,,,3,1,,14,5
MTR_P06,15.466,5,,1,,,1,1,,,,,,,,,,,,,,,,2,4
HLC_P01,16.470,25,,4,,,,,,,,,,,,,,,,,6,,,9,3
LPQ_P05,19.851,9,,,,,,,,,,,,,,,,,,,7,,,,1
BMT_P03,21.309,1,,,,,,,,,,,,,,,,,,,1,,,,1
BAR_P03,22.212,12,,,,,,,1,,,,,,,,,1,,,4,2,,4,5
SDW_P06,22.250,22,,3,,,,,,,,,,,,,,,,,9,,,6,3
MTR_P10,23.412,7,,,,,,,,,,,,,,,1,,,,2,,,4,3
MGM_P05,23.433,14,,2,4,,,,,,,,,,,,,,,,1,,,6,4
SDW_P09,24.520,7,3,1,,,,,1,,,,,,,,,2,,,,,,,4
SYC_P06,27.221,17,,2,,,,,,,,,,,,,,,,,4,,,9,3
LPQ_P10,28.994,17,,,1,,,,,,,1,,,,,,,,,6,,,6,4
SYC_P07,30.625,11,,3,2,,,,,,,,,,,,1,,,,2,,,1,5
BAR_P01,33.702,3,,,2,,,,1,,,,,,,,,,,,,,,,2
BAR_P02,36.740,15,,,1,,,,,,,,,,,,,1,,,1,,,11,4
CRE_P05,39.942,26,,5,6,,,,,,,,,,,,,,,,4,,,5,4
MTR_P05,41.837,4,,,,,,,,,,,,,,,,,,,1,,,3,2
SDW_P08,42.321,13,,,,,,,,,,,,1,,,,,,,1,,,9,3
MTR_P01,46.731,48,,8,,,,,,,,,,,,,,,,,17,,,,2
RGR_P04,46.981,8,,1,2,,,,1,,,,,,,,,,,,,,,1,4
RGR_P02,53.750,5,1,,,,,,,,,,,,,,,1,,,,,,2,3
LPQ_P07,60.338,21,,1,,,,,,,,,,,,,,2,,,16,,,,3
RGR_P03,62.702,8,,,2,,,,,,,,,,,,,,,,1,,1,1,4
LPQ_P04,66.216,12,,2,,,,,,,,,,,,,,3,,,2,,,1,4
BMT_P08,70.561,6,,,,,,,,1,,,,,1,,,,,,2,,,2,4
RGR_P01,75.832,17,,,,,,,,,,,,,,,,,,,11,4,,1,3
MTR_P09,80.358,2,,,,,,,,,,,,,,1,1,,,,,,,,2
SDW_P11,90.537,19,2,1,,,,,1,,,,1,,,,,4,,,5,,,,6
MTR_P04,91.892,6,,2,1,,1,,,,,,,,,,,,,,2,,,,4
LPQ_P03,92.255,12,,1,,,,,,,,1,,,,,,2,,,4,,1,1,6
MTR_P12,105.284,9,,3,,,,,,,,,,,,,,,,,3,,,2,3
BLS_P01,170.827,17,,4,4,,,,,1,,,,,,,,,1,,2,,,5,6
BLS_P02,172.452,20,,10,2,,,,,,,,,,,,1,1,,1,3,,,,6
LPQ_P08,172.636,11,,2,1,,,,,,,,,,,1,,,,,5,1,,,5
LPQ_P02,173.148,4,,,,,,,1,,,1,,,,,,,,,2,,,,3
LPQ_P06,208.815,2,,,,,,,,,,1,,,,,,,,,1,,,,2
MTR_P07,230.024,14,,2,,,,,,,,,,,,,,,,,8,2,,1,4
MTR_P03,237.714,5,,,,,,,1,,,,,,,,,,,,2,,,1,3
MTR_P02,244.239,26,,3,,,,,,,,,,,,,,,,,20,,,1,3
MTR_P08,1313.327,0,,,,,,,,,,,,,,,,,,,,,,,
